Transportation_expense,Distance_from_Residence_to_Work,Age,Abs_cat
189,29,33,Abs_High
260,50,36,Abs_low
289,36,33,Abs_High
388,15,50,Abs_High
388,15,50,Abs_High
225,26,28,Abs_low
225,26,28,Abs_low
179,26,30,Abs_low
184,42,27,Abs_High
225,26,28,Abs_low
330,16,28,Abs_High
330,16,28,Abs_low
225,26,28,Abs_low
189,29,33,Abs_High
291,50,32,Abs_low
260,50,36,Abs_High
157,27,29,Abs_low
179,22,40,Abs_High
291,31,40,Abs_High
260,50,36,Abs_High
179,26,30,Abs_High
248,25,47,Abs_low
260,50,36,Abs_High
179,22,40,Abs_High
155,12,34,Abs_High
260,50,36,Abs_High
155,12,34,Abs_High
289,36,33,Abs_High
179,22,40,Abs_High
260,50,36,Abs_Med
225,26,28,Abs_low
279,5,39,Abs_High
179,51,38,Abs_High
225,26,28,Abs_low
225,26,28,Abs_High
179,26,30,Abs_low
225,26,28,Abs_High
225,26,28,Abs_High
179,51,38,Abs_low
279,5,39,Abs_High
225,26,28,Abs_low
248,25,47,Abs_low
225,26,28,Abs_low
291,31,40,Abs_low
225,26,28,Abs_low
155,12,34,Abs_low
246,25,41,Abs_High
155,12,34,Abs_low
225,26,28,Abs_low
260,50,36,Abs_Med
179,51,38,Abs_High
118,13,50,Abs_low
291,31,40,Abs_low
246,25,41,Abs_High
291,31,40,Abs_low
248,25,47,Abs_High
260,50,36,Abs_High
289,36,33,Abs_High
155,12,34,Abs_High
378,49,36,Abs_High
289,36,33,Abs_High
235,11,37,Abs_low
235,29,48,Abs_low
289,36,33,Abs_High
155,12,34,Abs_low
155,12,34,Abs_low
179,51,38,Abs_High
225,26,28,Abs_High
184,42,27,Abs_Med
155,12,34,Abs_low
179,51,38,Abs_low
289,36,33,Abs_High
279,5,39,Abs_low
330,16,28,Abs_low
378,49,36,Abs_low
388,15,50,Abs_low
179,51,38,Abs_low
118,13,50,Abs_High
361,52,28,Abs_High
246,25,41,Abs_High
361,52,28,Abs_High
246,25,41,Abs_High
291,31,40,Abs_Med
246,25,41,Abs_High
179,51,38,Abs_High
155,12,34,Abs_Med
246,25,41,Abs_High
118,13,50,Abs_High
235,11,37,Abs_High
118,13,50,Abs_low
118,13,50,Abs_High
378,49,36,Abs_High
179,51,38,Abs_low
289,48,49,Abs_low
225,26,28,Abs_low
155,12,34,Abs_High
118,13,50,Abs_High
118,10,37,Abs_High
118,10,37,Abs_Med
330,16,28,Abs_High
179,26,30,Abs_High
155,12,34,Abs_low
330,16,28,Abs_High
330,16,28,Abs_High
157,27,29,Abs_low
361,52,28,Abs_High
289,36,33,Abs_High
179,51,38,Abs_High
289,36,33,Abs_High
289,36,33,Abs_High
260,50,36,Abs_low
289,36,33,Abs_High
157,27,29,Abs_low
289,36,33,Abs_low
228,14,58,Abs_High
300,26,43,Abs_low
300,26,43,Abs_low
260,50,36,Abs_Med
289,36,33,Abs_Med
248,25,47,Abs_low
268,11,33,Abs_High
179,26,30,Abs_low
118,13,50,Abs_low
248,25,47,Abs_low
235,11,37,Abs_low
118,13,50,Abs_low
235,11,37,Abs_High
361,52,28,Abs_High
184,42,27,Abs_High
179,51,38,Abs_High
179,51,38,Abs_low
289,36,33,Abs_High
235,20,43,Abs_low
246,25,41,Abs_High
291,31,40,Abs_low
231,35,39,Abs_low
291,50,32,Abs_low
179,51,38,Abs_High
246,25,41,Abs_High
179,51,38,Abs_low
291,31,40,Abs_Med
260,50,36,Abs_Med
235,20,43,Abs_High
118,13,50,Abs_low
235,20,43,Abs_low
291,31,40,Abs_low
291,31,40,Abs_High
179,51,38,Abs_High
289,36,33,Abs_High
235,11,37,Abs_Med
289,36,33,Abs_High
289,36,33,Abs_High
118,13,50,Abs_low
248,25,47,Abs_low
179,26,30,Abs_High
118,10,37,Abs_low
369,17,31,Abs_High
179,51,38,Abs_low
179,26,30,Abs_High
235,20,43,Abs_low
289,36,33,Abs_High
260,50,36,Abs_low
235,20,43,Abs_low
235,20,43,Abs_low
235,20,43,Abs_low
118,13,50,Abs_low
291,31,40,Abs_Med
179,26,30,Abs_High
118,13,50,Abs_low
361,52,28,Abs_High
260,50,36,Abs_low
291,31,40,Abs_low
157,27,29,Abs_low
179,26,30,Abs_Med
179,26,30,Abs_Med
118,13,50,Abs_low
118,10,37,Abs_High
248,25,47,Abs_low
179,51,38,Abs_High
260,50,36,Abs_low
291,31,40,Abs_low
378,49,36,Abs_High
155,12,34,Abs_High
235,20,43,Abs_High
330,16,28,Abs_low
235,11,37,Abs_low
118,10,37,Abs_low
235,11,37,Abs_low
179,51,38,Abs_low
246,25,41,Abs_High
291,31,40,Abs_Med
246,25,41,Abs_High
179,51,38,Abs_low
260,50,36,Abs_High
260,50,36,Abs_High
378,49,36,Abs_low
279,5,39,Abs_low
179,51,38,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
179,51,38,Abs_low
235,11,37,Abs_low
118,13,50,Abs_low
260,50,36,Abs_Med
246,25,41,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
179,26,30,Abs_low
118,10,37,Abs_High
235,11,37,Abs_low
179,51,38,Abs_low
235,20,43,Abs_High
235,11,37,Abs_Med
260,50,36,Abs_High
157,27,29,Abs_low
179,51,38,Abs_low
289,36,33,Abs_High
225,26,28,Abs_Med
118,10,37,Abs_High
155,12,34,Abs_low
235,11,37,Abs_low
155,12,34,Abs_Med
289,36,33,Abs_High
291,31,40,Abs_High
235,20,43,Abs_High
118,13,50,Abs_Med
179,51,38,Abs_low
179,51,38,Abs_low
118,10,37,Abs_low
179,51,38,Abs_low
225,26,28,Abs_low
289,36,33,Abs_low
260,50,36,Abs_low
179,51,38,Abs_low
179,51,38,Abs_low
179,51,38,Abs_low
179,51,38,Abs_High
246,25,41,Abs_High
179,51,38,Abs_low
189,29,33,Abs_High
179,51,38,Abs_low
246,25,41,Abs_low
291,31,40,Abs_low
157,27,29,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
246,25,41,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
118,10,37,Abs_High
246,25,41,Abs_High
246,25,41,Abs_low
260,50,36,Abs_Med
179,51,38,Abs_low
235,11,37,Abs_High
179,22,40,Abs_High
378,49,36,Abs_High
179,51,38,Abs_High
361,52,28,Abs_High
369,17,31,Abs_low
235,11,37,Abs_High
118,13,50,Abs_low
118,13,50,Abs_low
118,13,50,Abs_High
235,11,37,Abs_low
246,25,41,Abs_low
118,13,50,Abs_low
179,51,38,Abs_High
289,36,33,Abs_High
260,50,36,Abs_High
246,25,41,Abs_low
179,51,38,Abs_Med
260,50,36,Abs_low
330,16,28,Abs_Med
369,17,31,Abs_Med
248,25,47,Abs_Med
330,16,28,Abs_High
179,51,38,Abs_High
118,13,50,Abs_low
118,13,50,Abs_High
300,26,43,Abs_High
260,50,36,Abs_Med
179,51,38,Abs_Med
118,10,37,Abs_low
235,20,43,Abs_High
248,25,47,Abs_low
369,17,31,Abs_High
179,26,30,Abs_low
179,51,38,Abs_Med
361,52,28,Abs_low
260,50,36,Abs_low
179,22,40,Abs_low
179,22,40,Abs_low
228,14,58,Abs_High
225,26,28,Abs_low
330,16,28,Abs_High
179,26,30,Abs_low
118,10,37,Abs_low
235,11,37,Abs_High
179,26,30,Abs_low
118,10,37,Abs_low
179,51,38,Abs_low
118,10,37,Abs_low
225,26,28,Abs_Med
260,50,36,Abs_Med
179,51,38,Abs_low
291,31,40,Abs_High
179,51,38,Abs_High
246,25,41,Abs_low
179,51,38,Abs_Med
235,20,43,Abs_High
179,51,38,Abs_low
225,26,28,Abs_low
118,13,50,Abs_low
179,51,38,Abs_High
179,26,30,Abs_low
246,25,41,Abs_low
330,16,28,Abs_low
235,11,37,Abs_High
179,26,30,Abs_low
225,26,28,Abs_Med
260,50,36,Abs_High
268,11,33,Abs_High
330,16,28,Abs_High
118,10,37,Abs_High
260,50,36,Abs_Med
118,10,37,Abs_High
300,26,43,Abs_High
235,29,48,Abs_low
246,25,41,Abs_low
225,26,28,Abs_High
179,51,38,Abs_low
118,13,50,Abs_low
361,52,28,Abs_High
289,36,33,Abs_High
235,20,43,Abs_High
246,25,41,Abs_low
291,31,40,Abs_low
279,5,39,Abs_low
179,51,38,Abs_Med
179,22,40,Abs_low
246,25,41,Abs_Med
118,10,37,Abs_Med
289,36,33,Abs_High
235,20,43,Abs_High
291,31,40,Abs_Med
179,51,38,Abs_Med
179,22,40,Abs_High
330,16,28,Abs_High
235,11,37,Abs_Med
246,25,41,Abs_low
118,10,37,Abs_Med
291,31,40,Abs_low
260,50,36,Abs_low
246,25,41,Abs_low
246,25,41,Abs_low
118,10,37,Abs_low
155,12,34,Abs_low
291,31,40,Abs_low
179,26,30,Abs_High
248,25,47,Abs_low
179,51,38,Abs_Med
225,26,28,Abs_low
179,26,30,Abs_low
369,17,31,Abs_High
361,52,28,Abs_High
289,48,49,Abs_low
235,16,32,Abs_low
246,25,41,Abs_High
289,48,49,Abs_low
291,31,40,Abs_low
118,10,37,Abs_low
289,48,49,Abs_low
291,31,40,Abs_low
225,26,28,Abs_low
369,17,31,Abs_High
369,17,31,Abs_low
225,26,28,Abs_Med
369,17,31,Abs_High
179,51,38,Abs_low
228,14,58,Abs_low
291,31,40,Abs_low
369,17,31,Abs_High
225,26,28,Abs_low
369,17,31,Abs_High
225,26,28,Abs_low
189,29,33,Abs_High
235,16,32,Abs_High
248,25,47,Abs_High
225,26,28,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
118,10,37,Abs_low
330,16,28,Abs_High
179,51,38,Abs_low
118,10,37,Abs_High
289,36,33,Abs_High
235,16,32,Abs_High
225,26,28,Abs_Med
361,52,28,Abs_High
291,31,40,Abs_low
118,10,37,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
118,10,37,Abs_High
118,10,37,Abs_High
225,26,28,Abs_low
291,31,40,Abs_low
289,36,33,Abs_low
248,25,47,Abs_Med
235,20,43,Abs_low
225,26,28,Abs_low
369,17,31,Abs_High
361,52,28,Abs_low
179,51,38,Abs_High
291,31,40,Abs_low
225,26,28,Abs_low
179,26,30,Abs_low
225,26,28,Abs_low
225,26,28,Abs_low
361,52,28,Abs_Med
179,22,40,Abs_low
235,20,43,Abs_High
233,51,31,Abs_High
179,26,30,Abs_High
225,26,28,Abs_low
225,26,28,Abs_low
225,26,28,Abs_low
155,12,34,Abs_High
179,26,30,Abs_High
179,26,30,Abs_High
179,22,40,Abs_low
179,22,40,Abs_low
179,26,30,Abs_low
179,22,40,Abs_low
289,48,49,Abs_High
179,22,40,Abs_low
179,26,30,Abs_low
155,12,34,Abs_High
179,26,30,Abs_low
179,51,38,Abs_low
289,36,33,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
179,51,38,Abs_High
225,26,28,Abs_low
248,25,47,Abs_High
179,51,38,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
179,26,30,Abs_low
225,15,41,Abs_low
179,51,38,Abs_low
233,51,31,Abs_low
179,51,38,Abs_low
225,26,28,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
225,26,28,Abs_low
179,26,30,Abs_low
179,22,40,Abs_low
179,51,38,Abs_low
233,51,31,Abs_low
179,26,30,Abs_low
179,51,38,Abs_low
179,51,38,Abs_High
179,51,38,Abs_low
155,12,34,Abs_Med
235,16,32,Abs_low
179,51,38,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
248,25,47,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
179,51,38,Abs_low
235,16,32,Abs_low
179,51,38,Abs_low
248,25,47,Abs_low
228,14,58,Abs_low
248,25,47,Abs_low
228,14,58,Abs_High
179,51,38,Abs_low
225,26,28,Abs_low
179,51,38,Abs_low
225,26,28,Abs_low
179,26,30,Abs_low
235,16,32,Abs_low
361,52,28,Abs_High
179,51,38,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
179,26,30,Abs_low
179,51,38,Abs_Med
248,25,47,Abs_low
179,51,38,Abs_low
225,26,28,Abs_High
179,51,38,Abs_low
289,36,33,Abs_High
228,14,58,Abs_low
179,51,38,Abs_low
248,25,47,Abs_low
179,51,38,Abs_low
179,26,30,Abs_low
179,51,38,Abs_low
179,51,38,Abs_low
118,15,46,Abs_High
155,12,34,Abs_High
179,51,38,Abs_low
179,51,38,Abs_low
179,26,30,Abs_low
289,36,33,Abs_High
369,17,31,Abs_High
225,26,28,Abs_High
118,10,37,Abs_High
361,52,28,Abs_High
248,25,47,Abs_High
189,29,33,Abs_High
179,26,30,Abs_low
369,17,31,Abs_High
179,22,40,Abs_low
118,13,50,Abs_low
361,52,28,Abs_low
118,10,37,Abs_low
235,11,37,Abs_High
179,26,30,Abs_low
225,26,28,Abs_High
235,16,32,Abs_low
179,26,30,Abs_low
155,12,34,Abs_Med
225,26,28,Abs_High
118,13,50,Abs_low
179,26,30,Abs_low
235,11,37,Abs_High
225,15,41,Abs_low
235,16,32,Abs_low
118,10,37,Abs_low
235,20,43,Abs_High
179,26,30,Abs_low
291,31,40,Abs_low
225,15,41,Abs_High
300,26,43,Abs_High
225,15,41,Abs_High
179,26,30,Abs_low
118,13,50,Abs_low
118,13,50,Abs_low
118,10,37,Abs_low
118,13,50,Abs_low
179,26,30,Abs_low
378,49,36,Abs_low
179,22,40,Abs_low
155,12,34,Abs_High
235,16,32,Abs_High
291,31,40,Abs_High
179,22,40,Abs_High
225,26,28,Abs_low
330,16,28,Abs_High
235,16,32,Abs_low
291,31,40,Abs_low
179,26,30,Abs_low
361,52,28,Abs_High
155,12,34,Abs_low
179,22,40,Abs_High
155,12,34,Abs_High
225,26,28,Abs_low
118,15,46,Abs_High
179,26,30,Abs_low
118,10,37,Abs_High
118,10,37,Abs_High
378,49,36,Abs_High
118,13,50,Abs_High
233,51,31,Abs_High
179,26,30,Abs_low
235,29,48,Abs_low
268,11,33,Abs_low
118,13,50,Abs_low
179,26,30,Abs_low
291,31,40,Abs_low
179,26,30,Abs_low
118,10,37,Abs_low
233,51,31,Abs_High
118,10,37,Abs_low
118,10,37,Abs_low
233,51,31,Abs_low
235,20,43,Abs_Med
233,51,31,Abs_low
228,14,58,Abs_High
118,10,37,Abs_Med
228,14,58,Abs_High
189,29,33,Abs_High
118,10,37,Abs_low
361,52,28,Abs_High
225,26,28,Abs_High
369,17,31,Abs_High
289,36,33,Abs_High
235,11,37,Abs_Med
118,14,40,Abs_low
231,35,39,Abs_low
179,45,53,Abs_low
